category,word,cefr,cocaRank,pos,reason,oxfordDef
ingredients-flavor,"aroma",,,noun,manual-pin,""
ingredients-flavor,"seasoning",,,noun,manual-pin,""
ingredients-flavor,"dressing",,,,manual-pin,""
ingredients-flavor,"gravy",,,,manual-pin,""
ingredients-flavor,"broth",,,noun,manual-pin,""
ingredients-flavor,"syrup",,,noun,manual-pin,""
ingredients-flavor,"vinegar",,,noun,manual-pin,""
ingredients-flavor,"mustard",,,noun,manual-pin,""
ingredients-flavor,"ketchup",,,noun,manual-pin,""
ingredients-flavor,"mayo",,,noun,manual-pin,""
ingredients-flavor,"soy sauce",,,,manual-pin,""
ingredients-flavor,"salsa",,,noun,manual-pin,""
ingredients-flavor,"jelly",,,,manual-pin,""
ingredients-flavor,"yeast",,,noun,manual-pin,""
ingredients-flavor,"baking soda",,,,manual-pin,""
ingredients-flavor,"starch",,,,manual-pin,""
ingredients-flavor,"butter",a1,2704,noun,imsky:nouns/condiments,"a soft yellow food made from cream, used in cooking and for spreading on bread"
ingredients-flavor,"onion",a1,3164,noun,imsky:nouns/condiments,"a round vegetable with many layers inside each other and a brown, red or white skin. Onions have a strong smell and tast"
ingredients-flavor,"delicious",a1,4250,adjective,imsky:adjectives/food,"having a very pleasant taste or smell"
ingredients-flavor,"heat",a2,1177,noun|verb,imsky:verbs/cooking,"the quality of being hot"
ingredients-flavor,"sweet",a2,1402,adjective|noun,imsky:adjectives/food,"containing, or tasting as if it contains, a lot of sugar"
ingredients-flavor,"boil",a2,4771,verb,imsky:verbs/cooking,"when a liquid boils or when you boil it, it is heated to the point where it forms bubbles and turns to steam or vapour"
ingredients-flavor,"sharp",b1,2408,noun|adjective,imsky:adjectives/food,"having a fine edge or point, especially of something that can cut or make a hole in something"
ingredients-flavor,"bake",b1,3195,verb,imsky:verbs/cooking,"to cook food in an oven without extra fat or liquid; to be cooked in this way"
ingredients-flavor,"frozen",b1,4403,adjective,imsky:adjectives/food,"kept at a very low temperature in order to preserve it"
ingredients-flavor,"prepared",b1,,adjective,imsky:adjectives/food,"ready and able to deal with something"
ingredients-flavor,"fry",b1,,verb,imsky:verbs/cooking,"to cook something in hot fat or oil; to be cooked in hot fat or oil"
ingredients-flavor,"burn",b2,1434,noun|verb,imsky:verbs/cooking,"an injury or a mark caused by fire, heat or acid"
ingredients-flavor,"golden",b2,2127,adjective,imsky:adjectives/food,"made of gold"
ingredients-flavor,"rank",b2,2986,noun|adjective|verb,imsky:adjectives/food,"the position, especially a high position, that somebody has in a particular organization, society, etc."
ingredients-flavor,"organic",b2,3054,adjective,imsky:adjectives/food,"produced or practised without using artificial chemicals"
ingredients-flavor,"steam",b2,4444,verb|noun,imsky:verbs/cooking,"the hot gas that water changes into when it boils"
ingredients-flavor,"honey",,1683,noun,imsky:nouns/condiments,""
ingredients-flavor,"garlic",,3769,noun,imsky:nouns/condiments,""
ingredients-flavor,"chili",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"chives",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"chutney",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"horseradish",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"margarine",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"mayonnaise",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"miso",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"pesto",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"relish",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"remoulade",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"sauerkraut",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"sriracha",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"wasabi",,,noun,imsky:nouns/condiments,""
ingredients-flavor,"arrowroot",,,noun,imsky:nouns/seasonings,""
ingredients-flavor,"basil",,,noun,imsky:nouns/seasonings,""
ingredients-flavor,"cayenne",,,noun,imsky:nouns/seasonings,""
ingredients-flavor,"cilantro",,,noun,imsky:nouns/seasonings,""
ingredients-flavor,"cinnamon",,,noun,imsky:nouns/seasonings,""
ingredients-flavor,"coriander",,,noun,imsky:nouns/seasonings,""
ingredients-flavor,"cumin",,,noun,imsky:nouns/seasonings,""
ingredients-flavor,"curry",,,noun,imsky:nouns/seasonings,""
house-building,"apartment",a1,1460,noun,manual-pin,"a set of rooms for living in, usually on one floor of a building"
house-building,"roof",a2,2421,noun,manual-pin,"the structure that covers or forms the top of a building or vehicle"
house-building,"studio",b1,1793,noun,manual-pin,"a room where radio or television programmes are recorded and broadcast from, or where music is recorded"
house-building,"ceiling",b1,3088,noun,manual-pin,"the top inside surface of a room"
house-building,"garage",b1,3389,noun,manual-pin,"a building for keeping one or more cars or other vehicles in"
house-building,"pipe",b1,3428,verb|noun,manual-pin,"a tube through which liquids and gases can flow"
house-building,"foundation",b2,1444,noun,manual-pin,"a principle, an idea or a fact that something is based on and that it grows from"
house-building,"cabin",b2,3705,noun,manual-pin,"a small room on a ship in which you live or sleep"
house-building,"brick",b2,3740,noun,manual-pin,"baked clay used for building walls, houses and other buildings; an individual block of this"
house-building,"concrete",b2,3763,noun|adjective,manual-pin,"made of concrete"
house-building,"basement",b2,3808,noun,manual-pin,"a room or rooms in a building, partly or completely below the level of the ground"
house-building,"porch",,3788,noun,manual-pin,""
house-building,"outlet",c1,4221,noun,manual-pin,"a shop or an organization that sells goods made by a particular company or of a particular type"
house-building,"beam",c1,4433,noun,manual-pin,"a line of light, electromagnetic waves or particles"
house-building,"doorway",,4910,noun,manual-pin,""
house-building,"asphalt",,,noun|adjective,manual-pin,""
house-building,"cement",,,noun,manual-pin,""
house-building,"tile",,,,manual-pin,""
house-building,"plaster",,,noun,manual-pin,""
house-building,"lime",,,noun|adjective,manual-pin,""
house-building,"gravel",,,noun,manual-pin,""
house-building,"pavement",,,,manual-pin,""
house-building,"drywall",,,noun,manual-pin,""
house-building,"plywood",,,noun,manual-pin,""
house-building,"lumber",,,noun,manual-pin,""
house-building,"pillar",,,,manual-pin,""
house-building,"shingle",,,,manual-pin,""
house-building,"mortar",,,noun,manual-pin,""
house-building,"attic",,,,manual-pin,""
house-building,"driveway",,,,manual-pin,""
house-building,"railing",,,,manual-pin,""
house-building,"gutter",,,noun,manual-pin,""
house-building,"chimney",,,,manual-pin,""
house-building,"staircase",,,,manual-pin,""
house-building,"banister",,,,manual-pin,""
house-building,"balcony",,,noun,manual-pin,""
house-building,"duplex",,,noun,manual-pin,""
house-building,"condo",,,,manual-pin,""
house-building,"townhouse",,,noun,manual-pin,""
house-building,"shed",c1,,noun|verb,manual-pin,"to get rid of something that is no longer wanted"
house-building,"insulation",,,noun,manual-pin,""
house-building,"siding",,,noun,manual-pin,""
house-building,"vent",,,,manual-pin,""
house-building,"wiring",,,,manual-pin,""
house-building,"rebar",,,,manual-pin,""
house-building,"tarp",,,,manual-pin,""
house-building,"school",a1,146,noun,imsky:nouns/buildings,"a place where children go to be educated"
house-building,"house",a1,176,noun|verb,imsky:nouns/houses,"a building for people to live in, usually for one family"
house-building,"lot",a1,216,noun|adverb,imsky:nouns/real_estate,"used with verbs to mean ‘a great amount’"
house-building,"story",a1,224,noun,imsky:nouns/construction,"a description of events and people that the writer or speaker has invented in order to entertain people"
house-building,"university",a1,359,noun,imsky:nouns/buildings,"an institution at the highest level of education where you can study for a degree or do research"
house-building,"course",a1,381,noun|adverb,imsky:nouns/construction,"a series of lessons or lectures on a particular subject"
house-building,"market",a1,453,noun|verb,imsky:nouns/buildings,"an occasion when people buy and sell goods; the open area or building where they meet to do this"
house-building,"interest",a1,473,noun|verb,imsky:nouns/real_estate,"the feeling that you have when you want to know or learn more about somebody/something"
house-building,"post",a1,581,noun|verb,imsky:nouns/construction,"the official system used for sending and delivering letters, packages, etc."
house-building,"paper",a1,585,noun|adjective|verb,imsky:adjectives/materials,"the thin material that you write and draw on and that is also used for wrapping and packing things"
house-building,"bank",a1,695,noun,imsky:nouns/buildings,"an organization that provides various financial services, for example keeping or lending money"
house-building,"hospital",a1,766,noun,imsky:nouns/buildings,"a large building where people who are ill or injured are given medical treatment and care"
house-building,"plant",a1,821,noun|verb,imsky:nouns/buildings,"a living thing that grows in the earth and usually has a stem, leaves and roots, especially one that is smaller than a t"
house-building,"section",a1,824,noun,imsky:nouns/construction,"any of the parts into which something is divided"
house-building,"card",a1,852,noun,yle:materials,"thick, stiff paper; a piece of this for writing on"
house-building,"detail",a1,971,noun|verb,imsky:nouns/construction,"a small individual fact or item; a less important fact or item"
house-building,"station",a1,978,noun,imsky:nouns/buildings,"a place where trains stop so that passengers can get on and off; the buildings connected with this"
house-building,"title",a1,1176,noun|verb,imsky:nouns/construction,"the name of a book, poem, painting, piece of music, etc."
house-building,"hotel",a1,1186,noun,imsky:nouns/buildings,"a building where people stay, usually for a short time, paying for their rooms and meals"
house-building,"restaurant",a1,1264,noun,imsky:nouns/buildings,"a place where you can buy and eat a meal"
house-building,"museum",a1,1297,noun,imsky:nouns/buildings,"a building in which objects of artistic, cultural, historical or scientific interest are kept and shown to the public"
house-building,"library",a1,1331,noun,imsky:nouns/buildings,"a building in which collections of books, newspapers, etc. and sometimes films and recorded music are kept for people to"
house-building,"airport",a1,2052,noun,imsky:nouns/buildings,"a place where planes land and take off and that has buildings for passengers to wait in"
house-building,"cafe",a1,4751,noun,imsky:nouns/buildings,"a place where you can buy drinks and simple meals. Alcohol is not usually served in British or American cafes."
house-building,"cinema",a1,,noun,imsky:nouns/buildings,"a building in which films are shown"
house-building,"use",a2,91,noun|verb,imsky:nouns/real_estate,"the act of using something; the state of being used"
house-building,"run",a2,202,noun|verb,imsky:nouns/construction,"an act of running; a period of time spent running or the distance that somebody runs"
house-building,"fall",a2,427,noun|verb,imsky:nouns/construction,"an act of falling"
house-building,"church",a2,504,noun,imsky:nouns/buildings,"a building where Christians go to attend services, pray, etc."
house-building,"term",a2,606,noun|verb,imsky:nouns/real_estate,"a word or phrase used as the name of something, especially one connected with a particular type of language"
house-building,"store",a2,759,noun|verb,imsky:nouns/buildings,"a large shop that sells many different types of goods"
house-building,"board",a2,768,noun|verb,imsky:nouns/construction,"a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roo"
house-building,"option",a2,923,noun,imsky:nouns/real_estate,"something that you can choose to have or do; the freedom to choose what you do"
house-building,"hall",a2,1163,noun,imsky:nouns/buildings,"a space or passage inside the entrance or front door of a building"
house-building,"soldier",a2,1235,noun,imsky:nouns/construction,"a member of an army, especially one who is not an officer"
house-building,"prison",a2,1332,noun,imsky:nouns/buildings,"a building where people are kept as a punishment for a crime they have committed, or while they are waiting for trial"
house-building,"vehicle",a2,1352,noun,imsky:nouns/construction,"a thing that is used for transporting people or goods from one place to another, such as a car or lorry"
house-building,"gold",a2,1364,noun|adjective,imsky:nouns/metals,"bright yellow in colour, like gold"
house-building,"survey",a2,1395,noun|verb,imsky:nouns/construction,"an investigation of the opinions, behaviour, etc. of a particular group of people, which is usually done by asking them "
house-building,"stone",a2,1420,adjective|noun,imsky:adjectives/materials,"a hard solid mineral substance that is found in the ground, often used for building"
house-building,"plate",a2,1789,noun,imsky:nouns/construction,"a flat, usually round, dish that you put food on"
house-building,"plastic",a2,1930,adjective|noun,imsky:adjectives/materials,"made of plastic"
house-building,"metal",a2,1942,adjective|noun,imsky:adjectives/materials,"a type of solid mineral substance that is usually hard and shiny and that heat and electricity can travel through, for e"
house-building,"valley",a2,1951,noun,imsky:nouns/construction,"an area of low land between hills or mountains, often with a river flowing through it; the land that a river flows throu"
house-building,"column",a2,2315,noun,imsky:nouns/architecture,"one of the straight sections from top to bottom into which text on a page or screen is divided"
house-building,"square",a2,2417,noun|adjective,imsky:nouns/construction,"having four straight equal sides and four angles of 90°"
house-building,"factory",a2,2559,noun,imsky:nouns/buildings,"a building or group of buildings where goods are made, mainly by machine"
house-building,"tower",a2,2581,noun,imsky:nouns/architecture,"a tall narrow building or part of a building, especially of a church or castle"
house-building,"gallery",a2,2648,noun,imsky:nouns/buildings,"a room or building for showing works of art, especially to the public"
house-building,"silver",a2,2811,noun|adjective,imsky:nouns/metals,"shiny grey-white in colour"
house-building,"wooden",a2,3302,adjective,imsky:adjectives/materials,"made of wood"
house-building,"palace",a2,4050,noun,imsky:nouns/buildings,"the official home of a king, queen, president, etc."
house-building,"castle",a2,4281,noun,imsky:nouns/buildings,"a large strong building with thick, high walls and towers, built in the past by kings or queens, or other important peop"
house-building,"biscuit",a2,,noun,imsky:nouns/construction,"a small flat dry cake for one person, usually sweet, and baked until hard"
house-building,"penny",a2,,noun,imsky:nouns/construction,"a small British coin and unit of money. There are 100 pence in one pound (£1)."
house-building,"lead",b1,349,noun|adjective|verb,imsky:nouns/metals,"to go with or in front of a person or an animal to show the way or to make them go in the right direction"
house-building,"rise",b1,890,noun|verb,imsky:nouns/construction,"an increase in an amount, a number or a level"
house-building,"agent",b1,1012,noun,imsky:nouns/real_estate,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc."
house-building,"grade",b1,1556,noun|verb,imsky:nouns/construction,"a mark given in an exam or for a piece of school work"
house-building,"frame",b1,2182,noun|verb,imsky:nouns/construction,"a strong border or structure of wood, metal, etc. that holds a picture, door, piece of glass, etc. in position"
house-building,"cap",b1,2536,noun,imsky:nouns/construction,"a type of soft flat hat with a peak (= a hard curved part sticking out in front). Caps are worn especially by men and bo"
house-building,"stadium",b1,2892,noun,imsky:nouns/buildings,"a large sports ground surrounded by rows of seats and usually other buildings"
house-building,"laboratory",b1,2970,noun,imsky:nouns/buildings,"a room or building used for scientific research, experiments, testing, etc."
house-building,"mall",b1,3469,noun,imsky:nouns/buildings,"a large building or covered area that has many shops, restaurants, etc. inside it"
